lat: 44.103365, lng: -76.398926
lat: 45.02695, lng: -74.970703
lat: 45.02695, lng: -71.542969
lat: 46.31279, lng: -70.20813
lat: 47.454094, lng: -69.23584
lat: 47.349989, lng: -68.236084
lat: 47.057025, lng: -67.791138
lat: 45.673563, lng: -67.755432
lat: 44.793531, lng: -66.928711
lat: 42.87999, lng: -70.801392
lat: 42.355499, lng: -70.993652
lat: 42.147624, lng: -70.692215
lat: 41.650288, lng: -69.441711
lat: 40.967456, lng: -71.905518
lat: 40.543026, lng: -73.95
lat: 41.00916, lng: -73.730371
lat: 40.95916, lng: -73.630371
lat: 43.389082, lng: -73.256836
