lat: 37.020098, lng: -103.007812
lat: 37.002553, lng: -109.039307
lat: 36.985003, lng: -113.994141
lat: 36.049099, lng: -114.147949
lat: 36.155618, lng: -114.537964
lat: 36.084621, lng: -114.759064
lat: 35.173808, lng: -114.590149
lat: 35.005253, lng: -114.635468
lat: 38.315801, lng: -119.025879
lat: 34.052659, lng: -118.498535
lat: 32.537552, lng: -117.125244
lat: 32.713355, lng: -114.708252
lat: 32.493547, lng: -114.809875
lat: 31.344254, lng: -111.09375
lat: 31.344254, lng: -108.215332
lat: 31.786552, lng: -108.215332
lat: 31.78305, lng: -106.527557
lat: 30.668038, lng: -105.069122
lat: 29.71847, lng: -104.629669}
lat: 29.137768, lng: -103.601074
lat: 28.974507, lng: -103.183594
lat: 29.740532, lng: -102.634277
lat: 29.769146, lng: -101.436768
lat: 27.532629, lng: -99.503174}
lat: 27.034664, lng: -99.450989
lat: 26.53448, lng: -99.168091
lat: 26.051848, lng: -98.162842
lat: 25.962984, lng: -97.261963
lat: 27.415662, lng: -97.393799
lat: 29.692825, lng: -93.878174
lat: 31.114092, lng: -93.570557
lat: 32.049989, lng: -94.053955
lat: 33.564284, lng: -94.048462
lat: 33.610045, lng: -94.471436
lat: 33.961586, lng: -95.213013
lat: 33.824794, lng: -96.146851
lat: 34.134542, lng: -98.563843
lat: 34.569906, lng: -99.970093
lat: 36.491973, lng: -100.01
lat: 36.527295, lng: -103.007812
