lat: 37.83148, lng: -94.603271
lat: 37.874853, lng: -102.041016}
lat: 36.993778, lng: -102.035522
lat: 37.020098, lng: -103.007812
lat: 36.527295, lng: -103.007812
lat: 36.491973, lng: -100.01
lat: 34.560859, lng: -99.931641
lat: 33.94336, lng: -98.173828
lat: 33.760882, lng: -96.37207
lat: 33.72434, lng: -94.526367
lat: 33.541395, lng: -94.064941
lat: 33.008663, lng: -94.042969
lat: 32.026706, lng: -94.042969
lat: 31.240985, lng: -93.603516
lat: 29.649869, lng: -93.867187
lat: 29.32472, lng: -91.340332
lat: 29.075375, lng: -90.175781
lat: 29.649869, lng: -89.516602
lat: 30.183122, lng: -89.494629
lat: 30.372875, lng: -87.231445
lat: 30.448674, lng: -87.165527
lat: 30.958769, lng: -87.648926
lat: 30.977609, lng: -85.03418
lat: 32.472695, lng: -84.990234
lat: 34.957995, lng: -83.122559
lat: 35.209722, lng: -82.353516
lat: 35.173808, lng: -81.123047
lat: 34.813803, lng: -80.705566
lat: 34.777716, lng: -79.694824
lat: 33.85217, lng: -78.574219
lat: 33.85217, lng: -77.958984
lat: 34.488448, lng: -77.409668
lat: 34.705493, lng: -76.860352
lat: 35.728677, lng: -75.695801
lat: 36.544949, lng: -75.871582
lat: 36.897194, lng: -76.025391
lat: 36.949892, lng: -76.201172
lat: 37.909534, lng: -76.245117
lat: 38.427774, lng: -77.277832
lat: 39.419221, lng: -78.31550
lat: 39.266284, lng: -78.42041
lat: 38.40078, lng: -82.500001
lat: 37.740313, lng: -82.323303
lat: 37.540222, lng: -81.960754
lat: 36.591274, lng: -83.693848
lat: 36.644182, lng: -87.747803
lat: 36.69375, lng: -87.991562
lat: 36.500805, lng: -88.044434
lat: 36.498597, lng: -89.534454
lat: 35.971338, lng: -89.780273
lat: 35.995785, lng: -90.351562
lat: 36.487557, lng: -90.159302
lat: 36.498597, lng: -94.617004
